asset_id,price,token_price,sale date,x,y,asset_properties
47639531368931384884872445040447549603696,$399.782,"6,500 (MANA)","~9 days ago 11/3/2020, 2:43:43 AM",139,-144,"{'ok': True, 'data': {'id': '139,-144', 'x': 139, 'y': -144, 'auction_price': 6836.35, 'district_id': None, 'owner': '0xf6c530eed1279561d1369a56198f281faf2f5f2c', 'data': {'ipns': '', 'name': 'Near Dragon City', 'version': 0, 'description': ''}, 'auction_owner': '0x78875f2af02488029dc515245cc54739d8dd4df8', 'tags': {'proximity': {'road': {'district_id': 'f77140f9-c7b4-4787-89c9-9fa0e219b079', 'distance': 5}, 'district': {'district_id': '106f1557-4a92-41a4-9f18-40fcb90b4031', 'distance': 6}}}, 'last_transferred_at': '1604389423000', 'estate_id': None, 'update_operator': None, 'auction_timestamp': '1545578313000', 'operator': None}}"
1361129467683753853853498429727072845692,"$1,643.485",4.1 (ETH),"~10 days ago 11/1/2020, 10:06:44 PM",3,-132,"{'ok': True, 'data': {'id': '3,-132', 'x': 3, 'y': -132, 'auction_price': 3818, 'district_id': None, 'owner': '0x84020f699435f187f100343e32f82ece0447cd7e', 'data': {'ipns': '', 'name': '💰Beautiful Double Corner Parcel💰', 'version': 0, 'description': 'Owner: Star on Discord. Located in a popular area between roads and plaza.'}, 'auction_owner': '0x5de49d218d11b39b4ad2c3e0687444a5cbc283bd', 'tags': {'proximity': {'road': {'district_id': 'f77140f9-c7b4-4787-89c9-9fa0e219b079', 'distance': 0}}}, 'last_transferred_at': '1604286404000', 'estate_id': None, 'update_operator': None, 'auction_timestamp': '1517356800000', 'operator': None}}"
36069930893619477127117708387767430414312,$771.636,"12,000 (MANA)","~10 days ago 11/1/2020, 2:44:22 PM",105,-24,"{'ok': True, 'data': {'id': '105,-24', 'x': 105, 'y': -24, 'auction_price': 1000, 'district_id': None, 'owner': '0xb0babeac276a23e48098f7b8c76755c0a9e422e0', 'data': {'version': 0}, 'auction_owner': '0xed2fd9b1bbb02a4cfa167942f771f7cfb522a0e6', 'tags': {}, 'last_transferred_at': '1604259862000', 'estate_id': None, 'update_operator': None, 'auction_timestamp': '1517356800000', 'operator': None}}"
115792089237316195423570985008687907848846313895668364014433714111300142890895,$639.62,"10,000 (MANA)","~12 days ago 10/30/2020, 10:07:23 PM",-14,-113,"{'ok': True, 'data': {'id': '-14,-113', 'x': -14, 'y': -113, 'auction_price': 1000, 'district_id': None, 'owner': '0x959e104e1a4db6317fa58f8295f586e1a978c297', 'data': {'ipns': '', 'name': 'The Mining Rig ll', 'version': 0, 'description': 'South Genesis East'}, 'auction_owner': '0xa0e7d969c4a2de14d5d3c65c15c4d6f333699567', 'tags': {'proximity': {'road': {'district_id': 'f77140f9-c7b4-4787-89c9-9fa0e219b079', 'distance': 0}}}, 'last_transferred_at': '1604122781000', 'estate_id': '3882', 'update_operator': None, 'auction_timestamp': '1517356800000', 'operator': None}}"
115792089237316195423570985008687907848846313895668364014433714111300142890894,$639.62,"10,000 (MANA)","~12 days ago 10/30/2020, 10:05:07 PM",-14,-114,"{'ok': True, 'data': {'id': '-14,-114', 'x': -14, 'y': -114, 'auction_price': 1000, 'district_id': None, 'owner': '0x959e104e1a4db6317fa58f8295f586e1a978c297', 'data': {'ipns': 'https://export.c15.now.sh/?position=0%2C0', 'name': 'The Mining Rig', 'version': 0, 'description': 'South Genesis East'}, 'auction_owner': '0xa0e7d969c4a2de14d5d3c65c15c4d6f333699567', 'tags': {'proximity': {'road': {'district_id': 'f77140f9-c7b4-4787-89c9-9fa0e219b079', 'distance': 0}}}, 'last_transferred_at': '1604122781000', 'estate_id': '3882', 'update_operator': None, 'auction_timestamp': '1517356800000', 'operator': None}}"
115792089237316195423570985008687907835915583952672702402825479028892950855675,"$1,164.042","18,000 (MANA)","~12 days ago 10/30/2020, 7:33:26 PM",-52,-5,"{'ok': True, 'data': {'id': '-52,-5', 'x': -52, 'y': -5, 'auction_price': 10625, 'district_id': None, 'owner': '0x81e4fb0c64bf49f89b57f6648562fc9a791b2e92', 'data': {'ipns': '', 'name': 'CBD/Genesis Plaza Prime Real Estate', 'version': 0, 'description': ''}, 'auction_owner': '0x343f38830d2b8e6da63b2afb1e84f53cf4791a9e', 'tags': {'proximity': {'district': {'district_id': 'c6e2dcfb-b8ac-4eed-b3b2-6ef266dbe992', 'distance': 5}, 'road': {'district_id': 'f77140f9-c7b4-4787-89c9-9fa0e219b079', 'distance': 0}}}, 'last_transferred_at': '1604100806000', 'estate_id': None, 'update_operator': None, 'auction_timestamp': '1517356800000', 'operator': None}}"
115792089237316195423570985008687907835915583952672702402825479028892950855674,"$1,228.711","19,000 (MANA)","~12 days ago 10/30/2020, 7:33:24 PM",-52,-6,"{'ok': True, 'data': {'id': '-52,-6', 'x': -52, 'y': -6, 'auction_price': 11000, 'district_id': None, 'owner': '0x7f90ab92b283cb28ae70c9fb4cb36038fa1918f9', 'data': {'ipns': '', 'name': 'CBD/Genesis Plaza Prime Real Estate', 'version': 0, 'description': ''}, 'auction_owner': '0x343f38830d2b8e6da63b2afb1e84f53cf4791a9e', 'tags': {'proximity': {'district': {'district_id': 'c6e2dcfb-b8ac-4eed-b3b2-6ef266dbe992', 'distance': 6}, 'road': {'district_id': 'f77140f9-c7b4-4787-89c9-9fa0e219b079', 'distance': 0}}}, 'last_transferred_at': '1604100804000', 'estate_id': None, 'update_operator': None, 'auction_timestamp': '1517356800000', 'operator': None}}"
49681225570457015665652692685038158872540,$561.933,"9,000 (MANA)","~12 days ago 10/30/2020, 1:25:07 PM",145,-36,"{'ok': True, 'data': {'id': '145,-36', 'x': 145, 'y': -36, 'auction_price': 12747.33, 'district_id': None, 'owner': '0x83f5e3bebe02425a6c2fbfd8915cb3250b619aae', 'data': {'version': 0}, 'auction_owner': '0x1c4e0475ee9d07abe15ee0e1a24ecedc89579fc0', 'tags': {'proximity': {'district': {'district_id': '106f1557-4a92-41a4-9f18-40fcb90b4031', 'distance': 6}, 'road': {'district_id': 'f77140f9-c7b4-4787-89c9-9fa0e219b079', 'distance': 1}}}, 'last_transferred_at': '1604078707000', 'estate_id': None, 'update_operator': None, 'auction_timestamp': '1545408077000', 'operator': None}}"
28583718821358830930923467024268529762155,$804.324,"12,000 (MANA)","~13 days ago 10/29/2020, 5:11:17 PM",83,-149,"{'ok': True, 'data': {'id': '83,-149', 'x': 83, 'y': -149, 'auction_price': 1563, 'district_id': None, 'owner': '0xca1c43a6acd6dbb85d22a9f69c7ea25fdbce4c5b', 'data': {'version': 0}, 'auction_owner': '0x8b8dcdb651a67b1d70ac5ee0a8cc1e7a10a8bb1c', 'tags': {'proximity': {'road': {'district_id': 'f77140f9-c7b4-4787-89c9-9fa0e219b079', 'distance': 0}}}, 'last_transferred_at': '1604005877000', 'estate_id': None, 'update_operator': None, 'auction_timestamp': '1517356800000', 'operator': None}}"
2381976568446569244243622252022377480054,$952.21,"14,000 (MANA)","~14 days ago 10/28/2020, 10:35:19 PM",6,-138,"{'ok': True, 'data': {'id': '6,-138', 'x': 6, 'y': -138, 'auction_price': 1000, 'district_id': None, 'owner': '0x3477823dc687e24147494b910b367cc85298df8c', 'data': {'version': 0}, 'auction_owner': '0x0727fc3970cca8a5e57145777133dc551c124beb', 'tags': {'proximity': {'road': {'district_id': 'f77140f9-c7b4-4787-89c9-9fa0e219b079', 'distance': 0}, 'plaza': {'district_id': '55327350-d9f0-4cae-b0f3-8745a0431099', 'distance': 7}}}, 'last_transferred_at': '1603938919000', 'estate_id': None, 'update_operator': None, 'auction_timestamp': '1517356800000', 'operator': None}}"
46958966635089507957945695825584013180907,$527.08,"8,000 (MANA)","~14 days ago 10/28/2020, 3:32:31 PM",137,-21,"{'ok': True, 'data': {'id': '137,-21', 'x': 137, 'y': -21, 'auction_price': 6877.64, 'district_id': None, 'owner': '0xfb5a2da7c365bfdd817bcc29a49c97b80e450f3d', 'data': {'version': 0}, 'auction_owner': '0x7103a727dd976fcb389921ceb148d2ea03e484b6', 'tags': {}, 'last_transferred_at': '1603913551000', 'estate_id': None, 'update_operator': None, 'auction_timestamp': '1545577124000', 'operator': None}}"
23819765684465692442436222520223774801796,$648.54,"9,000 (MANA)","~16 days ago 10/26/2020, 4:22:13 PM",69,-124,"{'ok': True, 'data': {'id': '69,-124', 'x': 69, 'y': -124, 'auction_price': 1000, 'district_id': None, 'owner': '0xbd32ef8c2bf6010877cdda3629efb5b30efe8821', 'data': {'version': 0}, 'auction_owner': '0x36aedd6cca549b1f2a369e9ac2f9200db31d8c7a', 'tags': {'proximity': {'district': {'district_id': '106f1557-4a92-41a4-9f18-40fcb90b4031', 'distance': 4}, 'road': {'district_id': 'f77140f9-c7b4-4787-89c9-9fa0e219b079', 'distance': 2}}}, 'last_transferred_at': '1603743733000', 'estate_id': None, 'update_operator': None, 'auction_timestamp': '1517356800000', 'operator': None}}"
47299249002010446421409070433015781392364,$586.504,"8,000 (MANA)","~16 days ago 10/26/2020, 10:38:47 AM",138,-20,"{'ok': True, 'data': {'id': '138,-20', 'x': 138, 'y': -20, 'auction_price': 6828.19, 'district_id': None, 'owner': '0xf736f97997d10f7963b4e8474cdfd8742403bf01', 'data': {'ipns': '', 'name': 'Good Place', 'version': 0, 'description': ''}, 'auction_owner': '0x5158009af2bead2d80dc9c553bcc0aeddd57085a', 'tags': {}, 'last_transferred_at': '1603723127000', 'estate_id': None, 'update_operator': None, 'auction_timestamp': '1545578548000', 'operator': None}}"
115792089237316195423570985008687907845443490226458979379799968036982460776310,$730.957,"9,900 (MANA)","~16 days ago 10/26/2020, 8:11:25 AM",-24,-138,"{'ok': True, 'data': {'id': '-24,-138', 'x': -24, 'y': -138, 'auction_price': 1000, 'district_id': None, 'owner': '0x81293d56c238b93b5aa997f5ce14b81fa4ca1e7b', 'data': {'ipns': '', 'name': 'Pixel Plaza Resort', 'version': 0, 'description': ''}, 'auction_owner': '0xf61650775859140ac0c5c9fc4f738c390b67bffa', 'tags': {'proximity': {'road': {'district_id': 'f77140f9-c7b4-4787-89c9-9fa0e219b079', 'distance': 2}, 'plaza': {'district_id': '55327350-d9f0-4cae-b0f3-8745a0431099', 'distance': 9}}}, 'last_transferred_at': '1603714285000', 'estate_id': None, 'update_operator': None, 'auction_timestamp': '1517356800000', 'operator': None}}"
47639531368931384884872445040447549603717,"$1,389.073","18,950 (MANA)","~16 days ago 10/26/2020, 7:38:31 AM",139,-123,"{'ok': True, 'data': {'id': '139,-123', 'x': 139, 'y': -123, 'auction_price': 1250, 'district_id': None, 'owner': '0x2d44c0388316d951922ca5ad5699167ad5104700', 'data': {'ipns': '', 'name': 'Great spot touching a District', 'version': 0, 'description': ''}, 'auction_owner': '0xd11a019a70986bd607cbc1c1f9ae221c78581f49', 'tags': {'proximity': {'district': {'district_id': '106f1557-4a92-41a4-9f18-40fcb90b4031', 'distance': 0}}}, 'last_transferred_at': '1603712311000', 'estate_id': None, 'update_operator': None, 'auction_timestamp': '1517356800000', 'operator': None}}"
8507059173023461586584365185794205286470,$660.711,"8,990 (MANA)","~17 days ago 10/26/2020, 5:11:43 AM",25,70,"{'ok': True, 'data': {'id': '25,70', 'x': 25, 'y': 70, 'auction_price': 1000, 'district_id': None, 'owner': '0x848f11e9c468be9ef6bf5f1daa742e6adf25d7a7', 'data': {'version': 0}, 'auction_owner': '0xd13c44294c9d62fb38fef04ef5742fff72e0b885', 'tags': {'proximity': {'district': {'district_id': '2d0043ab-3dbb-419f-8744-5ffe166a4270', 'distance': 4}}}, 'last_transferred_at': '1603703503000', 'estate_id': None, 'update_operator': None, 'auction_timestamp': '1517356800000', 'operator': None}}"
